epoch,train_loss,val_loss,val_auc
1,0.7100,0.6908,0.5801
2,0.6346,0.6819,0.6002
3,0.5580,0.6739,0.6286
4,0.4781,0.6769,0.6582
5,0.3990,0.6944,0.6868
6,0.6119,0.7284,0.6853
7,0.5548,0.7189,0.7116
8,0.5320,0.7140,0.7365
9,0.5150,0.7082,0.7577
10,0.5003,0.7005,0.7796
11,0.4866,0.6959,0.7992
12,0.4762,0.6860,0.8148
13,0.4666,0.6845,0.8279
14,0.4576,0.6650,0.8448
15,0.4499,0.6535,0.8558
16,0.4433,0.6435,0.8672
17,0.4387,0.6234,0.8746
18,0.4320,0.6180,0.8863
19,0.4270,0.6124,0.8919
20,0.4216,0.5844,0.8992
21,0.4182,0.5642,0.9060
22,0.4146,0.5477,0.9150
23,0.4110,0.5305,0.9187
24,0.4076,0.5094,0.9235
25,0.4038,0.4964,0.9292
26,0.4018,0.4722,0.9340
27,0.3986,0.4627,0.9369
28,0.3986,0.4525,0.9410
29,0.3946,0.4398,0.9448
30,0.3924,0.4246,0.9497
31,0.3910,0.4113,0.9532
32,0.3892,0.4040,0.9559
33,0.3858,0.3938,0.9585
34,0.3872,0.3863,0.9611
35,0.3862,0.3802,0.9636
36,0.3865,0.3753,0.9653
